Time,Open,High,Low,Close,Adj Close,Volume
2024-06-27 14:55:00-04:00,545.31,545.48,545.29,545.44,545.44,53083
2024-06-27 14:54:00-04:00,545.35,545.36,545.28,545.315,545.315,22339
2024-06-27 14:53:00-04:00,545.365,545.48,545.3201,545.365,545.365,49544
2024-06-27 14:52:00-04:00,545.39,545.45,545.32,545.41,545.41,41612
2024-06-27 14:51:00-04:00,545.39,545.425,545.3,545.38,545.38,53332
2024-06-27 14:50:00-04:00,545.15,545.42,545.08,545.385,545.385,102412
2024-06-27 14:49:00-04:00,545.0902,545.17,545.08,545.1404,545.1404,92665
2024-06-27 14:48:00-04:00,544.9877,545.11,544.9701,545.09,545.09,58017
2024-06-27 14:47:00-04:00,544.81,544.99,544.8,544.99,544.99,44268
2024-06-27 14:46:00-04:00,544.71,544.86,544.71,544.81,544.81,107496
2024-06-27 14:45:00-04:00,544.72,544.8,544.68,544.72,544.72,43018
2024-06-27 14:44:00-04:00,544.68,544.7499,544.65,544.72,544.72,45864
2024-06-27 14:43:00-04:00,544.68,544.72,544.61,544.67,544.67,57012
2024-06-27 14:42:00-04:00,544.79,544.79,544.65,544.69,544.69,45120
2024-06-27 14:41:00-04:00,544.71,544.83,544.6905,544.78,544.78,65417
2024-06-27 14:40:00-04:00,544.73,544.82,544.7,544.71,544.71,49505
2024-06-27 14:39:00-04:00,544.81,544.875,544.71,544.7489,544.7489,95684
2024-06-27 14:38:00-04:00,544.77,544.86,544.77,544.825,544.825,39686
2024-06-27 14:37:00-04:00,544.81,544.86,544.79,544.79,544.79,36107
2024-06-27 14:36:00-04:00,544.8,544.93,544.75,544.8,544.8,63703
2024-06-27 14:35:00-04:00,545.005,545.09,544.9,544.9,544.9,52048
2024-06-27 14:34:00-04:00,544.94,545.03,544.92,545.0,545.0,72882
2024-06-27 14:33:00-04:00,544.81,544.94,544.76,544.93,544.93,39388
2024-06-27 14:32:00-04:00,544.755,544.88,544.73,544.8,544.8,81684
2024-06-27 14:31:00-04:00,544.76,544.805,544.68,544.76,544.76,58124
2024-06-27 14:30:00-04:00,544.78,544.81,544.635,544.77,544.77,76352
2024-06-27 14:29:00-04:00,544.83,544.89,544.77,544.77,544.77,61037
2024-06-27 14:28:00-04:00,544.9,544.9,544.79,544.82,544.82,46917
2024-06-27 14:27:00-04:00,544.91,545.0,544.86,544.895,544.895,52885
2024-06-27 14:26:00-04:00,544.93,544.97,544.81,544.91,544.91,45641
2024-06-27 14:25:00-04:00,544.93,545.04,544.905,544.93,544.93,63087
2024-06-27 14:24:00-04:00,545.035,545.075,544.99,545.0,545.0,41793
2024-06-27 14:23:00-04:00,544.95,545.08,544.93,545.045,545.045,54800
2024-06-27 14:22:00-04:00,544.88,545.01,544.88,544.95,544.95,41065
2024-06-27 14:21:00-04:00,545.035,545.13,544.89,544.89,544.89,60251
2024-06-27 14:20:00-04:00,545.01,545.09,544.88,545.03,545.03,59645
2024-06-27 14:19:00-04:00,544.8324,545.005,544.64,545.0,545.0,86722
2024-06-27 14:18:00-04:00,544.9895,545.01,544.79,544.82,544.82,56467
2024-06-27 14:17:00-04:00,545.09,545.11,544.95,544.97,544.97,54466
2024-06-27 14:16:00-04:00,545.1,545.26,545.06,545.1,545.1,31981
2024-06-27 14:15:00-04:00,545.12,545.27,545.11,545.215,545.215,45603
2024-06-27 14:14:00-04:00,545.08,545.19,545.0,545.11,545.11,38110
